[FIXES]
BIRTH N041.05.13.600 W081.26.24.500
BITES N038.26.14.480 W080.45.55.550
BITPE N040.16.33.430 W076.40.26.990
BIVDY N037.53.40.890 W081.38.56.170
BIVME N042.17.21.760 W075.43.44.140
BIYAP N041.15.38.120 W079.48.11.470
BIYAS N039.22.27.120 W077.25.09.770
BIZON N042.40.38.520 W078.27.01.070
BKKUS N042.41.42.790 W082.50.58.020
BLAMS N037.29.08.520 W079.00.38.420
BLAYR N040.21.17.990 W078.59.04.160
BLAZE N041.27.34.240 W077.35.41.740
BLBBY N042.45.32.920 W085.32.59.320
BLDNG N042.35.17.360 W083.15.09.430
BLESS N040.56.21.210 W076.25.12.510
BLINK N040.28.54.670 W077.58.26.810
BLISS N040.19.38.640 W081.58.21.790
BLITZ N039.10.40.670 W077.10.26.280
BLOCK N039.02.44.490 W084.28.53.240
BLOWN N040.49.36.190 W075.27.30.340
BLUEF N037.21.44.990 W081.07.57.900
BLUES N038.47.45.110 W077.54.27.080
BLUEY N040.31.54.820 W082.04.08.180
BLUEZ N042.56.49.980 W082.31.36.440
BLUMR N040.12.24.200 W084.24.39.860
;BLURZ N042.12.24.400 W084.58.02.490  ; removed 1909
BMICH N039.05.50.400 W078.00.25.290
BMORE N039.21.17.490 W076.50.22.330
BMPAH N043.11.20.000 W078.19.26.110
BNGLE N039.33.01.130 W084.24.32.270
BNNET N043.04.35.800 W083.22.00.200
BNTLY N038.03.14.990 W077.36.05.160
BOAST N039.08.54.440 W076.25.38.410
BOBAY N040.46.21.340 W082.26.20.720
BOBCT N040.32.55.620 W082.00.46.290
BOBSS N040.17.41.780 W076.45.00.730
BOBTA N043.48.52.000 W079.39.31.000
BOBXU N041.31.52.440 W082.48.56.300
;BOCAL N040.22.10.780 W085.56.19.700 ; removed 1909
BOCKS N042.48.15.740 W076.20.30.550
BOCRA N040.05.25.600 W076.13.39.580
BODYS N040.42.24.840 W084.08.08.710
BOEEE N041.21.36.980 W081.56.09.470
BOGGS N040.00.51.000 W080.44.57.360
BOGSO N045.01.32.850 W082.25.53.400
BOGTE N040.07.14.110 W080.22.58.310
BOHRR N042.35.16.530 W085.26.05.870
BOHUW N040.16.27.620 W085.26.04.660
BOIER N038.31.12.620 W079.42.28.090
BOJRY N040.01.06.960 W076.07.03.210
BOKIN N040.26.02.530 W084.13.18.340
BOKVE N038.51.46.200 W076.43.37.670
BONCI N039.17.53.170 W078.21.08.660
BONDS N039.00.41.450 W077.10.04.670
BONEE N040.03.08.850 W083.56.56.150
BONIF N040.21.27.400 W082.48.26.600
BONLE N039.02.46.370 W084.50.18.540
BONOY N040.30.24.110 W086.01.16.880
BONZZ N041.44.54.290 W082.47.49.650
BOODY N042.36.22.450 W084.42.48.460
BOOKS N040.30.16.270 W084.47.40.770
BOOME N037.54.59.800 W079.25.46.250
BOOSE N042.10.02.000 W083.23.49.560 ;updated 1909
BOOTT N042.42.38.200 W083.01.07.430
BOOYA N038.24.20.500 W077.21.46.360
BOPAC N038.53.17.860 W077.27.37.870
BOPGE N040.24.30.930 W080.29.35.710
BOPVE N038.57.14.800 W077.08.39.800
BOREK N042.56.15.000 W079.56.51.000
BORNY N041.32.03.200 W081.41.51.730 ;updated 1909
BOSEP N043.06.16.000 W082.00.30.000
BOSLY N039.10.36.650 W076.43.31.320
BOSTR N038.53.08.130 W084.04.58.020
BOTSE N040.14.45.470 W078.54.29.770
BOUHN N040.10.09.120 W076.29.56.190
BOUMR N039.06.17.680 W084.52.13.910
BOUNC N040.45.57.160 W075.26.09.600
BOUTN N039.49.08.380 W083.12.16.130
BOUTU N042.23.20.180 W082.46.15.610
BOVAY N040.55.21.540 W076.46.39.590
BOVPY N040.15.12.560 W080.42.05.440
BOWRR N039.57.58.010 W083.01.56.480
BOXEY N039.48.33.020 W084.04.22.720
BOYDS N039.12.31.010 W077.27.21.080
BOYER N040.16.36.840 W076.05.09.380
BPANE N040.21.00.280 W081.48.45.250
BRAFO N041.45.17.690 W078.34.23.660
BRAGG N040.27.11.050 W076.07.41.430
BRAIL N037.44.24.080 W078.32.52.000
BRAMR N039.33.29.640 W084.04.41.900
BRANN N039.45.36.370 W084.09.37.390
BRAXN N042.00.20.270 W083.21.09.470
BRAYV N039.15.18.450 W076.55.32.350
BRBER N040.11.09.880 W076.55.30.890
BRDDA N040.27.23.090 W075.33.42.750
BRDER N041.53.44.610 W083.20.43.350
BREIT N043.07.35.430 W077.33.13.700
BREMN N039.42.01.730 W082.24.15.720
BRIER N041.29.09.880 W085.27.12.380
BRINE N038.36.25.330 W076.51.46.910
BRITL N039.10.43.280 W084.40.59.980
BRLSN N039.35.38.790 W075.44.45.650
BRNAN N040.08.07.000 W077.50.06.700
BRNCH N039.01.22.990 W076.59.55.760
BRNDN N039.29.49.820 W079.31.48.830
BRNIE N039.16.41.560 W084.13.37.220
BRNIN N041.16.36.640 W082.38.14.050
BROCH N039.34.17.820 W081.30.32.360
BROCS N041.17.42.400 W078.36.03.840
BROKK N042.19.53.000 W081.34.54.980
BROML N040.10.19.170 W076.38.22.700
BRONZ N042.20.02.430 W085.39.31.790
BROTO N042.32.40.000 W079.39.35.710
BROVI N042.31.25.990 W083.47.43.900
BROZZ N042.13.27.810 W084.09.17.610 ;updated 1909
BRTCL N038.50.11.700 W084.41.04.660
BRTTA N041.51.50.870 W083.39.39.620
BRUCY N038.22.30.330 W079.33.54.580
BRUIN N043.39.59.040 W076.06.55.970
BRUNC N038.55.50.890 W076.56.24.240
BRUNY N039.50.50.990 W084.20.06.930
BRUSH N038.22.02.250 W083.27.17.360
BRUTL N038.43.58.660 W077.30.20.260
BRVRY N039.13.22.680 W078.57.47.180
BRWNZ N041.51.00.430 W082.12.04.690
BRYEN N040.51.15.730 W084.46.48.900
BRYNN N039.12.11.360 W084.33.20.720
BRYTO N041.44.30.250 W085.18.47.660
BSTAF N039.43.40.100 W079.55.55.620
BUBAA N040.10.27.000 W080.58.17.000
BUBBI N039.27.03.290 W078.08.14.710
BUCGA N041.31.30.230 W085.57.22.180
BUCHH N042.39.31.010 W077.13.06.060
BUCKE N043.18.06.610 W085.12.44.700
BUCKO N039.17.37.820 W079.49.30.100
BUCRA N040.31.53.990 W085.43.17.060
BUCTA N040.59.07.010 W080.27.32.270
BUDRE N043.29.40.680 W084.25.49.080
